TICKET,ITEM,IDPRODUCTO,NOMPRRODUCTO,FECHAVENTA,CANTIDAD,IDTAMAÑO,DESCTAMAÑO,PRECIO,COSTOUNITARIO,DESCTIPO,IDLOCAL,NOMLOCAL,DESCTIPOLOCAL,IDCIUDAD,NOMCIUDAD,TOTALVENTA,TOTALCOSTO,AÑO,MES
57910,1,C003,CONFORT NEW YORK,06/03/2021,1,20N,20 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,03-MAR
58819,1,C003,CONFORT NEW YORK,13/03/2021,1,18N,18 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA," $1,866.00 ", $396.00 ,2021,03-MAR
58937,1,C003,CONFORT NEW YORK,14/03/2021,1,22N,22 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,03-MAR
59326,1,C003,CONFORT NEW YORK,18/03/2021,1,19N,19 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,03-MAR
59711,1,C003,CONFORT NEW YORK,22/03/2021,1,28N,28 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,03-MAR
61463,1,C003,CONFORT NEW YORK,06/04/2021,1,30N,30 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,04-ABR
62599,1,C003,CONFORT NEW YORK,16/04/2021,1,18N,18 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,04-ABR
62716,1,C003,CONFORT NEW YORK,17/04/2021,1,28N,28 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA," $1,866.00 ", $396.00 ,2021,04-ABR
63624,1,C003,CONFORT NEW YORK,23/04/2021,1,26N,26 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,3,ESFERA,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,04-ABR
63918,1,C003,CONFORT NEW YORK,26/04/2021,1,18M,18 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,04-ABR
64381,1,C003,CONFORT NEW YORK,30/04/2021,1,26N,26 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,3,ESFERA,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,04-ABR
64917,1,C003,CONFORT NEW YORK,05/05/2021,1,24M,24 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA," $1,866.00 ", $396.00 ,2021,05-MAY
65537,3,C003,CONFORT NEW YORK,11/05/2021,1,22N,22 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,3,ESFERA,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,05-MAY
65612,1,C003,CONFORT NEW YORK,12/05/2021,1,18N,18 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA," $1,866.00 ", $396.00 ,2021,05-MAY
66480,1,C003,CONFORT NEW YORK,20/05/2021,1,24N,24 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA," $1,866.00 ", $396.00 ,2021,05-MAY
66569,1,C003,CONFORT NEW YORK,21/05/2021,1,29M,29 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA," $1,866.00 ", $396.00 ,2021,05-MAY
68398,1,C003,CONFORT NEW YORK,05/06/2021,1,22M,22 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,3,ESFERA,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,06-JUN
68847,2,C003,CONFORT NEW YORK,08/06/2021,1,28M,28 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA," $1,866.00 ", $396.00 ,2021,06-JUN
69118,1,C003,CONFORT NEW YORK,11/06/2021,1,29M,29 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,06-JUN
69258,1,C003,CONFORT NEW YORK,12/06/2021,1,25N,25 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,06-JUN
69467,1,C003,CONFORT NEW YORK,14/06/2021,1,28N,28 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA," $1,866.00 ", $396.00 ,2021,06-JUN
69536,1,C003,CONFORT NEW YORK,14/06/2021,1,25M,25 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,06-JUN
69548,1,C003,CONFORT NEW YORK,14/06/2021,1,21M,21 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA," $1,866.00 ", $396.00 ,2021,06-JUN
69853,1,C003,CONFORT NEW YORK,18/06/2021,1,22N,22 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,06-JUN
69859,1,C003,CONFORT NEW YORK,18/06/2021,1,28M,28 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA," $1,866.00 ", $396.00 ,2021,06-JUN
69865,1,C003,CONFORT NEW YORK,18/06/2021,1,27M,27 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,06-JUN
70113,1,C003,CONFORT NEW YORK,20/06/2021,1,29M,29 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA," $1,866.00 ", $396.00 ,2021,06-JUN
70867,1,C003,CONFORT NEW YORK,27/06/2021,1,24N,24 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA," $1,866.00 ", $396.00 ,2021,06-JUN
70911,1,C003,CONFORT NEW YORK,28/06/2021,1,19M,19 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,06-JUN
70928,1,C003,CONFORT NEW YORK,28/06/2021,1,26M,26 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA," $1,866.00 ", $396.00 ,2021,06-JUN
70994,1,C003,CONFORT NEW YORK,29/06/2021,1,20N,20 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,06-JUN
71454,1,C003,CONFORT NEW YORK,02/07/2021,1,21M,21 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,07-JUL
71677,1,C003,CONFORT NEW YORK,04/07/2021,1,28N,28 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA," $1,866.00 ", $396.00 ,2021,07-JUL
72301,1,C003,CONFORT NEW YORK,09/07/2021,1,22N,22 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,07-JUL
73122,1,C003,CONFORT NEW YORK,14/07/2021,1,25M,25 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA," $1,866.00 ", $396.00 ,2021,07-JUL
73584,1,C003,CONFORT NEW YORK,18/07/2021,1,25N,25 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA," $1,866.00 ", $396.00 ,2021,07-JUL
73658,1,C003,CONFORT NEW YORK,18/07/2021,1,29M,29 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,07-JUL
73659,1,C003,CONFORT NEW YORK,18/07/2021,1,29M,29 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA," $1,866.00 ", $396.00 ,2021,07-JUL
73925,1,C003,CONFORT NEW YORK,20/07/2021,1,26M,26 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA," $1,866.00 ", $396.00 ,2021,07-JUL
73984,1,C003,CONFORT NEW YORK,21/07/2021,1,29N,29 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,07-JUL
75629,1,C003,CONFORT NEW YORK,03/08/2021,1,23M,23 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA," $1,866.00 ", $396.00 ,2021,08-AGO
76256,1,C003,CONFORT NEW YORK,08/08/2021,1,29M,29 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,08-AGO
77881,1,C003,CONFORT NEW YORK,22/08/2021,1,21M,21 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA," $1,866.00 ", $396.00 ,2021,08-AGO
78049,1,C003,CONFORT NEW YORK,23/08/2021,1,20M,20 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,08-AGO
78092,1,C003,CONFORT NEW YORK,23/08/2021,1,29N,29 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,08-AGO
80461,1,C003,CONFORT NEW YORK,12/09/2021,1,19N,19 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,09-SEP
81050,1,C003,CONFORT NEW YORK,18/09/2021,1,18N,18 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,09-SEP
82901,1,C003,CONFORT NEW YORK,05/10/2021,1,20N,20 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA," $1,866.00 ", $396.00 ,2021,10-OCT
82940,1,C003,CONFORT NEW YORK,05/10/2021,1,20M,20 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,10-OCT
83265,1,C003,CONFORT NEW YORK,07/10/2021,1,23N,23 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,10-OCT
83731,1,C003,CONFORT NEW YORK,12/10/2021,1,27M,27 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA," $1,866.00 ", $396.00 ,2021,10-OCT
84472,1,C003,CONFORT NEW YORK,20/10/2021,1,18M,18 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,10-OCT
85279,1,C003,CONFORT NEW YORK,30/10/2021,1,26M,26 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,10-OCT
85889,1,C003,CONFORT NEW YORK,06/11/2021,1,19M,19 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA," $1,866.00 ", $396.00 ,2021,11-NOV
86001,1,C003,CONFORT NEW YORK,07/11/2021,1,30M,30 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,11-NOV
86660,1,C003,CONFORT NEW YORK,14/11/2021,1,22N,22 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,11-NOV
86664,1,C003,CONFORT NEW YORK,14/11/2021,1,29M,29 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,11-NOV
87124,1,C003,CONFORT NEW YORK,18/11/2021,1,23N,23 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,866.00 ", $396.00 ,2021,11-NOV
87558,3,C003,CONFORT NEW YORK,22/11/2021,1,28M,28 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,11-NOV
88743,1,C003,CONFORT NEW YORK,02/12/2021,1,18N,18 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA," $1,866.00 ", $396.00 ,2021,12-DIC
89264,1,C003,CONFORT NEW YORK,06/12/2021,1,24N,24 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,12-DIC
89728,1,C003,CONFORT NEW YORK,11/12/2021,1,27M,27 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,12-DIC
89728,2,C003,CONFORT NEW YORK,11/12/2021,1,23N,23 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,866.00 ", $396.00 ,2021,12-DIC
91589,1,C003,CONFORT NEW YORK,13/12/2021,1,27M,27 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA," $1,866.00 ", $396.00 ,2021,12-DIC
95782,1,C003,CONFORT NEW YORK,22/12/2021,1,29M,29 Y MEDIO," $1,866.00 ", $396.00 ,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA," $1,866.00 ", $396.00 ,2021,12-DIC
93166,1,C003,CONFORT NEW YORK,23/12/2021,1,26N,26 NORMAL," $1,866.00 ", $396.00 ,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA," $1,866.00 ", $396.00 ,2021,12-DIC
10013,1,C003,CONFORT NEW YORK,01/01/2020,1,24N,24 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,14,PABELLON,ESTÁNDAR,GDL,GUADALAJARA," $1,681.00 ", $396.00 ,2020,01-ENE
10178,1,C003,CONFORT NEW YORK,03/01/2020,1,19M,19 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,5,COYOACAN,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,01-ENE
11567,1,C003,CONFORT NEW YORK,16/01/2020,1,22M,22 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,14,PABELLON,ESTÁNDAR,GDL,GUADALAJARA," $1,681.00 ", $396.00 ,2020,01-ENE
12051,1,C003,CONFORT NEW YORK,22/01/2020,1,19M,19 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,15,CENTRO MAGNO,ESTÁNDAR,GDL,GUADALAJARA," $1,681.00 ", $396.00 ,2020,01-ENE
12235,1,C003,CONFORT NEW YORK,24/01/2020,1,29N,29 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,01-ENE
12944,1,C003,CONFORT NEW YORK,31/01/2020,1,30M,30 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,5,COYOACAN,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,01-ENE
13142,1,C003,CONFORT NEW YORK,02/02/2020,1,25N,25 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,10,IZCALI,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,02-FEB
13641,1,C003,CONFORT NEW YORK,06/02/2020,1,27N,27 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,4,PLAZA FIESTA,ESTÁNDAR,MTY,MONTERREY," $1,681.00 ", $396.00 ,2020,02-FEB
14023,1,C003,CONFORT NEW YORK,09/02/2020,1,23M,23 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,7,UNIVERSIDAD,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,02-FEB
14490,1,C003,CONFORT NEW YORK,14/02/2020,1,28M,28 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,02-FEB
15048,2,C003,CONFORT NEW YORK,21/02/2020,1,30M,30 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,14,PABELLON,ESTÁNDAR,GDL,GUADALAJARA," $1,681.00 ", $396.00 ,2020,02-FEB
15836,1,C003,CONFORT NEW YORK,26/02/2020,1,22N,22 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,10,IZCALI,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,02-FEB
18045,1,C003,CONFORT NEW YORK,15/03/2020,1,18M,18 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,5,COYOACAN,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,03-MAR
18536,2,C003,CONFORT NEW YORK,18/03/2020,1,30N,30 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,03-MAR
18961,1,C003,CONFORT NEW YORK,21/03/2020,1,26N,26 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,2,CITADEL,ESTÁNDAR,MTY,MONTERREY," $1,681.00 ", $396.00 ,2020,03-MAR
19094,1,C003,CONFORT NEW YORK,22/03/2020,1,25N,25 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,03-MAR
19101,1,C003,CONFORT NEW YORK,22/03/2020,1,27N,27 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,19,ANGELOPOLIS,ESTÁNDAR,PUE,PUEBLA," $1,681.00 ", $396.00 ,2020,03-MAR
19264,1,C003,CONFORT NEW YORK,24/03/2020,1,18N,18 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,2,CITADEL,ESTÁNDAR,MTY,MONTERREY," $1,681.00 ", $396.00 ,2020,03-MAR
19387,1,C003,CONFORT NEW YORK,25/03/2020,1,21N,21 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,14,PABELLON,ESTÁNDAR,GDL,GUADALAJARA," $1,681.00 ", $396.00 ,2020,03-MAR
19462,1,C003,CONFORT NEW YORK,26/03/2020,1,23M,23 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,7,UNIVERSIDAD,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,03-MAR
20367,1,C003,CONFORT NEW YORK,05/04/2020,1,22M,22 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,7,UNIVERSIDAD,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,04-ABR
22043,1,C003,CONFORT NEW YORK,22/04/2020,1,27M,27 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,10,IZCALI,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,04-ABR
22157,1,C003,CONFORT NEW YORK,23/04/2020,1,29M,29 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,14,PABELLON,ESTÁNDAR,GDL,GUADALAJARA," $1,681.00 ", $396.00 ,2020,04-ABR
22400,1,C003,CONFORT NEW YORK,26/04/2020,1,19M,19 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,7,UNIVERSIDAD,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,04-ABR
22955,1,C003,CONFORT NEW YORK,03/05/2020,1,20N,20 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,05-MAY
22966,1,C003,CONFORT NEW YORK,03/05/2020,1,21N,21 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,05-MAY
24638,1,C003,CONFORT NEW YORK,19/05/2020,1,18N,18 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,14,PABELLON,ESTÁNDAR,GDL,GUADALAJARA," $1,681.00 ", $396.00 ,2020,05-MAY
25011,1,C003,CONFORT NEW YORK,24/05/2020,1,29M,29 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,2,CITADEL,ESTÁNDAR,MTY,MONTERREY," $1,681.00 ", $396.00 ,2020,05-MAY
25093,1,C003,CONFORT NEW YORK,24/05/2020,1,22N,22 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,4,PLAZA FIESTA,ESTÁNDAR,MTY,MONTERREY," $1,681.00 ", $396.00 ,2020,05-MAY
25477,1,C003,CONFORT NEW YORK,29/05/2020,1,26N,26 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,2,CITADEL,ESTÁNDAR,MTY,MONTERREY," $1,681.00 ", $396.00 ,2020,05-MAY
26635,1,C003,CONFORT NEW YORK,07/06/2020,1,25M,25 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,4,PLAZA FIESTA,ESTÁNDAR,MTY,MONTERREY," $1,681.00 ", $396.00 ,2020,06-JUN
27475,1,C003,CONFORT NEW YORK,14/06/2020,1,30N,30 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,2,CITADEL,ESTÁNDAR,MTY,MONTERREY," $1,681.00 ", $396.00 ,2020,06-JUN
28869,1,C003,CONFORT NEW YORK,28/06/2020,1,23M,23 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,06-JUN
28975,1,C003,CONFORT NEW YORK,29/06/2020,1,28M,28 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,7,UNIVERSIDAD,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,06-JUN
29855,1,C003,CONFORT NEW YORK,08/07/2020,1,29N,29 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,7,UNIVERSIDAD,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,07-JUL
30075,1,C003,CONFORT NEW YORK,11/07/2020,1,26M,26 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,14,PABELLON,ESTÁNDAR,GDL,GUADALAJARA," $1,681.00 ", $396.00 ,2020,07-JUL
30516,1,C003,CONFORT NEW YORK,14/07/2020,1,24M,24 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,14,PABELLON,ESTÁNDAR,GDL,GUADALAJARA," $1,681.00 ", $396.00 ,2020,07-JUL
30752,1,C003,CONFORT NEW YORK,16/07/2020,1,26N,26 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,19,ANGELOPOLIS,ESTÁNDAR,PUE,PUEBLA," $1,681.00 ", $396.00 ,2020,07-JUL
31369,1,C003,CONFORT NEW YORK,24/07/2020,1,20M,20 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,07-JUL
31582,1,C003,CONFORT NEW YORK,27/07/2020,1,30N,30 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,4,PLAZA FIESTA,ESTÁNDAR,MTY,MONTERREY," $1,681.00 ", $396.00 ,2020,07-JUL
31875,1,C003,CONFORT NEW YORK,29/07/2020,1,23N,23 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,7,UNIVERSIDAD,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,07-JUL
31886,1,C003,CONFORT NEW YORK,29/07/2020,1,30N,30 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,5,COYOACAN,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,07-JUL
32272,1,C003,CONFORT NEW YORK,02/08/2020,1,19M,19 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,08-AGO
32383,1,C003,CONFORT NEW YORK,03/08/2020,1,20M,20 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,15,CENTRO MAGNO,ESTÁNDAR,GDL,GUADALAJARA," $1,681.00 ", $396.00 ,2020,08-AGO
32843,1,C003,CONFORT NEW YORK,09/08/2020,1,24N,24 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,5,COYOACAN,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,08-AGO
33549,1,C003,CONFORT NEW YORK,12/08/2020,1,24N,24 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,15,CENTRO MAGNO,ESTÁNDAR,GDL,GUADALAJARA," $1,681.00 ", $396.00 ,2020,08-AGO
33866,1,C003,CONFORT NEW YORK,14/08/2020,1,28M,28 Y MEDIO," $1,681.00 ", $396.00 ,CABALLERO,10,IZCALI,ESTÁNDAR,CMX,CIUDAD DE MÉXICO," $1,681.00 ", $396.00 ,2020,08-AGO
34045,1,C003,CONFORT NEW YORK,15/08/2020,3,21N,21 NORMAL," $1,681.00 ", $396.00 ,CABALLERO,15,CENTRO MAGNO,ESTÁNDAR,GDL,GUADALAJARA," $5,043.00 "," $1,188.00 ",2020,08-AGO
